"","X","Y","pa","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"71",-107.749855,38.190732,"1",6.8,18.2,4.2,827.2,28.8,-13.9,42.7,16.8,10.7,17.4,-3.9,425,49,23,20,137,89,118,89
"72",-105.408523,35.398033,"1",9.7,18.4,4.6,757.7,30,-9.8,39.8,18.7,0.1,19.6,0.1,368,77,12,69,191,39,182,39
"73",-106.392202,35.095074,"1",9.1,15.8,4.2,748.4,28.6,-8.3,36.9,18,12.9,18.9,-0.3,445,73,23,45,191,74,172,85
"74",-109.598663,38.787353,"1",11.3,15.7,3.6,949.9,34.3,-9.1,43.4,18.2,-1,23.6,-1,245,28,12,21,78,50,61,50
"75",-111.664753,35.543957,"1",9.4,16.1,4.3,754.7,29.5,-7.7,37.2,18.8,12.8,19.3,0,384,56,11,36,140,49,116,98
"76",-109.477245,36.128318,"1",10.6,16.6,4,853.7,32,-8.7,40.7,21,14.6,21.8,-0.2,251,37,8,40,96,33,78,53
"77",-105.571031,33.752901,"1",11.5,17.1,4.7,718.7,30.1,-6.2,36.3,19.9,3.3,20.9,2.4,355,75,10,73,193,40,181,45
"78",-108.489482,37.272792,"1",7,14.9,3.8,809.6,27.6,-10.8,38.4,16.9,10.4,17.6,-3.1,501,56,18,25,153,78,126,125
"79",-105.782067,39.550051,"1",-0.9,13.6,3.8,763.2,18,-17.3,35.3,-3,0.1,9.1,-10.2,671,69,41,16,194,140,182,155
"80",-106.579309,32.339312,"1",11.5,15.8,4.6,673.1,28.9,-4.8,33.7,19.3,10.7,20.3,3.1,401,84,8,73,219,38,194,66
"81",-106.279117,35.781303,"1",10.4,16,4.2,801.4,30.4,-7.6,38,20,0.3,20.8,0.3,344,62,15,51,157,51,143,51
"82",-111.795054,34.876419,"1",14.1,16.6,4.5,721.9,33.8,-2.4,36.2,23.2,17.1,23.7,5.3,520,63,10,36,164,59,128,152
"83",-111.371051,35.520165,"1",13.7,16.5,4,849.4,35,-5.3,40.3,23.9,17.8,24.7,2.8,229,39,6,44,95,27,76,49
"84",-109.504906,38.742547,"1",12.1,16.1,3.6,952,35.3,-8.7,44,18.9,-0.4,24.3,-0.4,238,28,11,22,75,48,57,48
"85",-112.2541098,36.30624841,"1",7.4,15.6,4.3,725.6,27.2,-8.6,35.8,-0.4,10.2,17,-1.3,446,56,14,32,141,61,118,129
"86",-104.804167,36.813889,"1",7.5,17.6,4.4,768.6,27.3,-12.1,39.4,17.4,-2.4,17.4,-2.4,401,75,11,63,189,38,189,38
"87",-109.03623,33.16543,"1",11.6,19.4,5.1,680.9,31,-6.4,37.4,20,14.6,20.6,3.2,478,85,12,58,223,42,184,111
"88",-105.2515,35.936,"1",8.2,17.9,4.6,714,27.7,-10.5,38.2,16.8,-0.7,17.6,-0.7,428,86,13,68,214,42,213,42
"89",-107.59999,33.38066,"1",9.8,18.9,5,683.9,28.7,-8.5,37.2,17.9,8.8,18.7,1.2,385,85,8,79,225,34,186,54
"90",-103.81769,35.78689,"1",12.1,16.8,4.2,810.2,31.9,-7.5,39.4,22.6,1.7,22.6,1.7,395,77,8,71,198,27,198,27
"91",-105.80181,35.22511,"1",9.4,17.4,4.4,769,29.6,-9.4,39,18.5,1.1,19.4,-0.5,378,74,16,61,188,51,173,51
"92",-104.95381,34.87444,"1",12.3,17.6,4.5,756.8,32,-6.4,38.4,21.2,4.2,22.2,2.7,351,72,11,66,176,36,172,37
"93",-105.79281,35.580835,"1",8.6,16.7,4.4,738.5,28,-9.6,37.6,17.4,-0.7,18.3,-0.7,437,82,20,58,212,63,196,63
