gbifid,species,latitude,longitude
1262372266,Pinus edulis,39.573842,-105.365323
1261416995,Pinus edulis,39.96666,-107.85
1261022196,Pinus edulis,35.27111,-107.67472
1259876708,Pinus edulis,39.74555,-104.96555
1258668045,Pinus edulis,36.03194,-111.83111
1249281212,Pinus edulis,35.086831,-106.398475
1228506437,Pinus edulis,40,-110
1228342589,Pinus edulis,39,-105
1227772677,Pinus edulis,31.898318,-104.826976
1143520276,Pinus edulis,36.062699,-112.115135
1143520270,Pinus edulis,35.998637,-111.98714
1143517727,Pinus edulis,36.035896,-111.816621
1098265656,Pinus edulis,39.7456,-104.9656
1097862298,Pinus edulis,40.65,-112.17
1097334304,Pinus edulis,38.9124,-114.1592
1097305247,Pinus edulis,36.8831,-104.935
1097187646,Pinus edulis,36.8831,-104.935
1097085509,Pinus edulis,39.7456,-104.9656
1097013497,Pinus edulis,40.89433,-109.1755
1065587866,Pinus edulis,39.420258,-107.2224
1065581360,Pinus edulis,38.486344,-109.73621
1042817272,Pinus edulis,32.950923,-105.835542
1041368679,Pinus edulis,40.295526,-106.961225
1041368316,Pinus edulis,38.702613,-108.953888
1041340011,Pinus edulis,36.799667,-104.698083
1024210399,Pinus edulis,35.097683,-106.286252
1024184859,Pinus edulis,36.679916,-105.672675
930740122,Pinus edulis,36.06628,-112.1174
930740097,Pinus edulis,36.04881,-112.1184
930740036,Pinus edulis,36.05361,-112.128
922980940,Pinus edulis,36.039246,-111.959953
911491252,Pinus edulis,35.700168,-105.923033
911490269,Pinus edulis,38.71525,-109.577636
910491749,Pinus edulis,36.544949,-105.562477
891099322,Pinus edulis,38.43991,-109.44504
891074765,Pinus edulis,36.170115,-111.963528
883369807,Pinus edulis,39.658084,-107.891663
574755323,Pinus edulis,40.768467,-105.184717
240494375,Pinus edulis,33.03598,-108.15874
219013945,Pinus edulis,36.055,-112.120556
177004860,Pinus edulis,33.03598,-108.15874
60175555,Pinus edulis,36.07,-113.64
60175554,Pinus edulis,36.37,-113.56
60175532,Pinus edulis,39.04,-108.65
60175295,Pinus edulis,39.19,-111.66
60175217,Pinus edulis,38.09,-112.3
60174894,Pinus edulis,40.44,-111.98
56627706,Pinus edulis,38.0325,-105.7194
