"BehaviorSpace results (NetLogo 6.0.2)"
"fireModel1.nlogo"
"fireModel-d"
"01/10/2020 14:53:15:114 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","density","extinction","ignition","[step]","percent-burned"
"116","53","0.05","0.85","128","0.5677286163374466"
"127","54","0.05","0.85","34","0.03206008976825135"
"126","54","0.05","0.85","58","0.032020493115593976"
"124","54","0.05","0.85","98","0.18456143588797122"
"130","54","0.05","0.85","51","0.013777900248002206"
"134","54","0.05","0.85","1","0.004581271761040865"
"123","54","0.05","0.85","123","0.0322224268090591"
"129","54","0.05","0.85","101","0.17921146953405018"
"133","54","0.05","0.85","71","0.00918526683200147"
"128","54","0.05","0.85","108","0.7497142857142857"
"135","54","0.05","0.85","81","0.19264287680029354"
"132","54","0.05","0.85","125","0.9248712925418014"
"136","54","0.05","0.85","91","0.03203221525648652"
"141","54","0.05","0.85","21","0.009229775254972542"
"140","54","0.05","0.85","23","0.009139514691769867"
"131","54","0.05","0.85","170","1.4715995048824095"
"145","54","0.05","0.85","10","0.009173891105912574"
"138","54","0.05","0.85","99","0.5809432322400623"
"142","54","0.05","0.85","57","0.06440927493559073"
"137","54","0.05","0.85","160","1.2796575436039892"
"148","54","0.05","0.85","26","0.02760270506509638"
"149","54","0.05","0.85","26","0.01384721901684745"
"139","54","0.05","0.85","143","0.1980836557950986"
"146","54","0.05","0.85","85","0.2841820598615758"
"147","54","0.05","0.85","56","0.041405962458594035"
"151","55","0.05","0.85","34","0.017889887740954426"
"144","54","0.05","0.85","105","0.7188608819870052"
"150","54","0.05","0.85","79","0.23767082590612004"
"156","55","0.05","0.85","39","0.01344628210299852"
"143","54","0.05","0.85","159","1.1808861222995242"
"155","55","0.05","0.85","64","0.013531799729364007"
"152","55","0.05","0.85","92","0.5393016044222732"
"159","55","0.05","0.85","37","0.09475679090334807"
"161","55","0.05","0.85","14","0.004501868275334264"
"153","55","0.05","0.85","109","0.3013402896464874"
"157","55","0.05","0.85","100","0.4889532777978993"
"160","55","0.05","0.85","69","0.12535816618911175"
"163","55","0.05","0.85","44","0.053966540744738264"
"166","55","0.05","0.85","40","0.058445353594389245"
"154","55","0.05","0.85","182","1.6182535413304646"
"167","55","0.05","0.85","48","0.004503895869927487"
"162","55","0.05","0.85","104","0.49256672040121796"
"168","55","0.05","0.85","55","0.03139295004036237"
"173","55","0.05","0.85","6","0.004490950734270444"
"165","55","0.05","0.85","96","0.12686330478908975"
"158","55","0.05","0.85","172","0.37345331833520806"
