"BehaviorSpace results (NetLogo 6.0.2)"
"fireModel1.nlogo"
"fireModel-ie"
"01/10/2020 15:10:53:045 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","density","extinction","ignition","[step]","percent-burned"
"176","70","0.06","0.6","365","94.64995952272007"
"177","70","0.06","0.6","386","92.070624867313"
"178","70","0.06","0.6","365","94.63361385964294"
"186","70","0.06","0.65","25","0.007050197405527356"
"179","70","0.06","0.6","359","94.86067019400353"
"180","70","0.06","0.6","399","92.56584536958368"
"183","70","0.06","0.65","389","93.62987563595252"
"182","70","0.06","0.65","416","93.79930353208728"
"184","70","0.06","0.65","373","94.11328483649976"
"185","70","0.06","0.65","382","94.29771908763506"
"187","70","0.06","0.65","365","94.13672742657688"
"189","70","0.06","0.65","390","93.71140606146639"
"188","70","0.06","0.65","405","93.65264384868073"
"190","70","0.06","0.65","354","92.72081037853208"
"191","70","0.06","0.7","428","93.36702014091523"
"193","70","0.06","0.7","378","91.74045477084366"
"194","70","0.06","0.7","371","93.40795141586045"
"192","70","0.06","0.7","358","93.13812272067416"
"196","70","0.06","0.7","377","93.6094214174565"
"195","70","0.06","0.7","403","92.87080322991925"
"197","70","0.06","0.7","410","92.98706835299133"
"198","70","0.06","0.7","399","94.34463697246731"
"200","70","0.06","0.7","367","91.70740347148424"
"199","70","0.06","0.7","402","93.21445031375191"
"201","70","0.06","0.75","376","92.61347617705103"
"203","70","0.06","0.75","396","93.79222972972973"
"202","70","0.06","0.75","386","94.13844304602983"
"204","70","0.06","0.75","388","92.18112832878266"
"205","70","0.06","0.75","405","94.22418358340688"
"206","70","0.06","0.75","424","92.76777757975405"
"209","70","0.06","0.75","360","92.76924171290368"
"208","70","0.06","0.75","401","94.28011404133998"
"207","70","0.06","0.75","460","93.10612749426099"
"210","70","0.06","0.75","364","94.16611155909266"
"212","70","0.06","0.8","398","89.63492288099619"
"213","70","0.06","0.8","377","94.32631616065447"
"214","70","0.06","0.8","355","94.43956275702085"
"211","70","0.06","0.8","384","93.40184266477675"
"215","70","0.06","0.8","357","93.55925068406651"
"217","70","0.06","0.8","347","94.53754773016546"
"216","70","0.06","0.8","372","92.65875834635602"
"224","70","0.06","0.85","114","0.09565648692694678"
"220","70","0.06","0.8","383","90.14846726243458"
"218","70","0.06","0.8","453","93.41340702947846"
"219","70","0.06","0.8","441","93.8666383370516"
"227","70","0.06","0.85","69","0.06369426751592357"
"221","70","0.06","0.85","436","93.56582573669705"
"222","70","0.06","0.85","387","93.83953143744267"
"223","70","0.06","0.85","377","94.25291416460615"
"225","70","0.06","0.85","382","95.0224326138411"
"226","70","0.06","0.85","374","92.16012458853928"
"230","70","0.06","0.85","356","93.12186151778768"
"228","70","0.06","0.85","402","93.06149874456273"
"229","70","0.06","0.85","384","93.99680113737338"
"231","70","0.06","0.9","381","92.35262878385555"
"232","70","0.06","0.9","373","93.88661683824566"
