"BehaviorSpace results (NetLogo 6.0.2)"
"FireModel-Lab07.nlogo"
"fireExp1"
"03/03/2018 17:04:08:667 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","density","extinction","ignition","[step]","percent-burned"
"3","80","0.2","0.75","25","0.009253547193090685"
"1","80","0.2","0.75","14","0.376740882561838"
"7","80","0.2","0.75","29","0.00930896453284513"
"2","80","0.2","0.75","27","1.0204081632653061"
"8","80","0.2","0.75","24","0.10524035038846072"
"4","80","0.2","0.75","21","0.8140943976633626"
"3","80","0.2","0.75","26","0.009253547193090685"
"5","80","0.2","0.75","26","0.9785099399269214"
"2","80","0.2","0.75","28","1.0795171727227477"
"8","80","0.2","0.75","25","0.10524035038846072"
"1","80","0.2","0.75","15","0.41688540283482073"
"4","80","0.2","0.75","22","0.8793462386974489"
"8","80","0.2","0.75","26","0.10524035038846072"
"3","80","0.2","0.75","27","0.009253547193090685"
"1","80","0.2","0.75","16","0.44776580304480745"
"5","80","0.2","0.75","27","1.049730600111476"
"2","80","0.2","0.75","29","1.1292931806869089"
"6","80","0.2","0.75","31","0.5922452882568864"
"4","80","0.2","0.75","23","0.9570270018332661"
"8","80","0.2","0.75","27","0.10524035038846072"
"3","80","0.2","0.75","28","0.009253547193090685"
"1","80","0.2","0.75","17","0.4848222832967915"
"5","80","0.2","0.75","28","1.1395305629528705"
"4","80","0.2","0.75","24","1.034707764969083"
"1","80","0.2","0.75","18","0.5342309236327702"
"7","80","0.2","0.75","30","0.00930896453284513"
"6","80","0.2","0.75","32","0.6230913970202658"
"5","80","0.2","0.75","29","1.2479098284511054"
"3","80","0.2","0.75","29","0.009253547193090685"
"2","80","0.2","0.75","30","1.1821801891488304"
"4","80","0.2","0.75","25","1.1403536028337942"
"7","80","0.2","0.75","31","0.00930896453284513"
"6","80","0.2","0.75","33","0.6446836731546316"
"5","80","0.2","0.75","30","1.3439028921781135"
"1","80","0.2","0.75","19","0.5805515239477503"
"4","80","0.2","0.75","26","1.2459994406985053"
"7","80","0.2","0.75","32","0.00930896453284513"
"5","80","0.2","0.75","31","1.4429925063479283"
"1","80","0.2","0.75","20","0.6330482043047277"
"4","80","0.2","0.75","27","1.3236802038343225"
"6","80","0.2","0.75","34","0.675529781918011"
"3","80","0.2","0.75","30","0.009253547193090685"
"5","80","0.2","0.75","32","1.5544683222889701"
"7","80","0.2","0.75","33","0.00930896453284513"
"6","80","0.2","0.75","35","0.7002066689287146"
"1","80","0.2","0.75","21","0.6793688046197079"
"4","80","0.2","0.75","28","1.376503122766678"
"8","80","0.2","0.75","28","0.10524035038846072"
"7","80","0.2","0.75","34","0.00930896453284513"
"3","80","0.2","0.75","31","0.009253547193090685"
"6","80","0.2","0.75","36","0.7310527776920941"
"1","80","0.2","0.75","22","0.7226013649136892"
"2","80","0.2","0.75","31","1.253733200597312"
"7","80","0.2","0.75","35","0.00930896453284513"
"8","80","0.2","0.75","29","0.10524035038846072"
"6","80","0.2","0.75","37","0.7649834973318116"
"1","80","0.2","0.75","23","0.7750980452706667"
"3","80","0.2","0.75","32","0.009253547193090685"
"7","80","0.2","0.75","36","0.00930896453284513"
"6","80","0.2","0.75","38","0.8081680496005429"
"3","80","0.2","0.75","33","0.009253547193090685"
"1","80","0.2","0.75","24","0.8430349257326376"
"8","80","0.2","0.75","30","0.10524035038846072"
"2","80","0.2","0.75","32","1.3159532105525138"
"7","80","0.2","0.75","37","0.00930896453284513"
"6","80","0.2","0.75","39","0.8513526018692742"
"3","80","0.2","0.75","34","0.009253547193090685"
"8","80","0.2","0.75","31","0.10524035038846072"
"7","80","0.2","0.75","38","0.00930896453284513"
"6","80","0.2","0.75","40","0.8914525432616675"
"3","80","0.2","0.75","35","0.009253547193090685"
"4","80","0.2","0.75","29","1.4510766553770624"
"1","80","0.2","0.75","25","0.8955316060896149"
"2","80","0.2","0.75","33","1.3937282229965158"
"8","80","0.2","0.75","32","0.10524035038846072"
"6","80","0.2","0.75","41","0.9408063172830747"
"7","80","0.2","0.75","39","0.00930896453284513"
"1","80","0.2","0.75","26","0.9603804465305871"
"5","80","0.2","0.75","33","1.6473648355731716"
"2","80","0.2","0.75","34","1.4777252364360378"
"8","80","0.2","0.75","33","0.10524035038846072"
"4","80","0.2","0.75","30","1.5070068048348506"
"7","80","0.2","0.75","40","0.00930896453284513"
"1","80","0.2","0.75","27","1.0437575270975512"
"5","80","0.2","0.75","34","1.7309716975289529"
"2","80","0.2","0.75","35","1.5679442508710801"
"8","80","0.2","0.75","34","0.10524035038846072"
"4","80","0.2","0.75","31","1.5567224932417736"
"5","80","0.2","0.75","35","1.8269647612559607"
"1","80","0.2","0.75","28","1.1425748077695088"
"7","80","0.2","0.75","41","0.00930896453284513"
"8","80","0.2","0.75","35","0.10524035038846072"
"2","80","0.2","0.75","36","1.6674962667994027"
"4","80","0.2","0.75","32","1.6250815648012926"
"5","80","0.2","0.75","36","1.926054375425776"
"7","80","0.2","0.75","42","0.00930896453284513"
"8","80","0.2","0.75","36","0.10524035038846072"
"1","80","0.2","0.75","29","1.2383040484204677"
"5","80","0.2","0.75","37","2.0003715860531366"
"2","80","0.2","0.75","37","1.751493280238925"
"4","80","0.2","0.75","33","1.6841189447845135"
"8","80","0.2","0.75","37","0.10524035038846072"
"6","80","0.2","0.75","42","0.9809062586754682"
"7","80","0.2","0.75","43","0.00930896453284513"
"5","80","0.2","0.75","38","2.0963646497801447"
"3","80","0.2","0.75","36","0.009253547193090685"
"2","80","0.2","0.75","38","1.8261572921851668"
"4","80","0.2","0.75","34","1.7586924773948978"
"8","80","0.2","0.75","38","0.10524035038846072"
"1","80","0.2","0.75","30","1.3216811289874317"
"7","80","0.2","0.75","44","0.00930896453284513"
"5","80","0.2","0.75","39","2.1954542639499595"
"2","80","0.2","0.75","39","1.9194873071179692"
"8","80","0.2","0.75","39","0.10524035038846072"
"4","80","0.2","0.75","35","1.8581238542087437"
"1","80","0.2","0.75","31","1.4297625297223853"
"7","80","0.2","0.75","45","0.00930896453284513"
"8","80","0.2","0.75","40","0.10524035038846072"
"2","80","0.2","0.75","40","2.0159283225485316"
"4","80","0.2","0.75","36","1.9420190783954263"
"1","80","0.2","0.75","32","1.5409319704783373"
"7","80","0.2","0.75","46","0.00930896453284513"
"8","80","0.2","0.75","41","0.10524035038846072"
"2","80","0.2","0.75","41","2.118591338974614"
"4","80","0.2","0.75","37","2.0041636889040797"
"6","80","0.2","0.75","43","1.0302600326968752"
"7","80","0.2","0.75","47","0.00930896453284513"
"8","80","0.2","0.75","42","0.10524035038846072"
"3","80","0.2","0.75","37","0.009253547193090685"
"2","80","0.2","0.75","42","2.218143354902937"
"1","80","0.2","0.75","33","1.6428372911712934"
"4","80","0.2","0.75","38","2.078737221514464"
"7","80","0.2","0.75","48","0.00930896453284513"
"8","80","0.2","0.75","43","0.10524035038846072"
"5","80","0.2","0.75","40","2.2976404285625813"
"3","80","0.2","0.75","38","0.009253547193090685"
"2","80","0.2","0.75","43","2.3114733698357393"
"6","80","0.2","0.75","44","1.0888676393472965"
"7","80","0.2","0.75","49","0.00930896453284513"
"4","80","0.2","0.75","39","2.1502035235994157"
"1","80","0.2","0.75","34","1.735478491801254"
"8","80","0.2","0.75","44","0.10524035038846072"
"3","80","0.2","0.75","39","0.009253547193090685"
"2","80","0.2","0.75","44","2.3954703832752613"
"6","80","0.2","0.75","45","1.1413060242450415"
"7","80","0.2","0.75","50","0.00930896453284513"
"5","80","0.2","0.75","41","2.4091162445036227"
"8","80","0.2","0.75","45","0.10524035038846072"
"4","80","0.2","0.75","40","2.2247770562098004"
"3","80","0.2","0.75","40","0.009253547193090685"
"1","80","0.2","0.75","35","1.83738381249421"
"6","80","0.2","0.75","46","1.1937444091427867"
"7","80","0.2","0.75","51","0.00930896453284513"
"5","80","0.2","0.75","42","2.492723106459404"
"3","80","0.2","0.75","41","0.009253547193090685"
"2","80","0.2","0.75","45","2.501244400199104"
"8","80","0.2","0.75","46","0.10524035038846072"
"6","80","0.2","0.75","47","1.2400135722878558"
"1","80","0.2","0.75","36","1.9331130531451686"
"7","80","0.2","0.75","52","0.00930896453284513"
"4","80","0.2","0.75","41","2.3179939719727805"
"5","80","0.2","0.75","43","2.5980058215148323"
"3","80","0.2","0.75","42","0.009253547193090685"
"6","80","0.2","0.75","48","1.2770289028039112"
"7","80","0.2","0.75","53","0.00930896453284513"
"1","80","0.2","0.75","37","2.0442824939011213"
"2","80","0.2","0.75","46","2.6474614235938274"
"8","80","0.2","0.75","47","0.10524035038846072"
"4","80","0.2","0.75","42","2.401889196159463"
"3","80","0.2","0.75","43","0.009253547193090685"
"5","80","0.2","0.75","44","2.6909023347990337"
"6","80","0.2","0.75","49","1.3140442333199667"
"7","80","0.2","0.75","54","0.00930896453284513"
"1","80","0.2","0.75","38","2.158539974678072"
"8","80","0.2","0.75","48","0.10524035038846072"
"3","80","0.2","0.75","44","0.009253547193090685"
"5","80","0.2","0.75","45","2.7837988480832356"
"2","80","0.2","0.75","47","2.7936784469885514"
"6","80","0.2","0.75","50","1.3664826182177119"
"8","80","0.2","0.75","49","0.10524035038846072"
"1","80","0.2","0.75","39","2.2727974554550228"
"3","80","0.2","0.75","45","0.009253547193090685"
"5","80","0.2","0.75","46","2.895274664024277"
"6","80","0.2","0.75","51","1.4250902248681327"
"4","80","0.2","0.75","43","2.4795699592952802"
"7","80","0.2","0.75","55","0.00930896453284513"
"8","80","0.2","0.75","50","0.10524035038846072"
"3","80","0.2","0.75","46","0.009253547193090685"
"1","80","0.2","0.75","40","2.3808788561899763"
"5","80","0.2","0.75","47","2.994364278194092"
"6","80","0.2","0.75","52","1.4682747771368643"
